Test,VI,Avaliable Before Download (KB),Avaliable After Download (KB),Available Before Unload (KB),Available After Unload (KB),Download Usage (KB),Execution Usage (KB),Total Usage (KB)
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Get_Target_Memory_Info.vi,1697472.0000,1695180.0000,1695180.0000,1695180.0000,2292.000,0.000,2292.000
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Test_NetworkStream_Sweep_BufferSize.vi,1693952.0000,1690300.0000,1688532.0000,1688532.0000,3652.000,1768.000,5420.000
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Get_Target_Memory_Info.vi,1688716.0000,1688772.0000,1688772.0000,1688772.0000,-56.000,0.000,-56.000
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Pre_NetworkStream_Sweep_BufferSize.vi,1688380.0000,1688504.0000,,,-124.000,,
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Get_Target_Memory_Info.vi,1677140.0000,1677340.0000,1677340.0000,1677340.0000,-200.000,0.000,-200.000
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Test_NetworkStream_Sweep_BufferSize_SMP.vi,1676856.0000,1677320.0000,1676356.0000,1676356.0000,-464.000,964.000,500.000
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Get_Target_Memory_Info.vi,1676428.0000,1676460.0000,1676460.0000,1676460.0000,-32.000,0.000,-32.000
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Pre_NetworkStream_Sweep_BufferSize_SMP.vi,1676408.0000,1676392.0000,,,16.000,,
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,1672816.0000,1672960.0000,1672960.0000,1672960.0000,-144.000,0.000,-144.000
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Test_NetworkStream_Sweep_NumElements.vi,1682560.0000,1682588.0000,1681756.0000,1681756.0000,-28.000,832.000,804.000
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,1681872.0000,1681756.0000,1681756.0000,1681756.0000,116.000,0.000,116.000
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Pre_NetworkStream_Sweep_NumElements.vi,1681244.0000,1681256.0000,,,-12.000,,
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,1681228.0000,1681512.0000,1681512.0000,1681512.0000,-284.000,0.000,-284.000
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Test_NetworkStream_Sweep_NumElements_SMP.vi,1680848.0000,1680980.0000,1680212.0000,1680212.0000,-132.000,768.000,636.000
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,1680152.0000,1680148.0000,1680148.0000,1680148.0000,4.000,0.000,4.000
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Pre_NetworkStream_Sweep_NumElements_SMP.vi,1680324.0000,1678968.0000,,,1356.000,,
NetworkStream\Test_NetworkStream_Throughput.vi,Get_Target_Memory_Info.vi,1679324.0000,1679260.0000,1679260.0000,1679260.0000,64.000,0.000,64.000
NetworkStream\Test_NetworkStream_Throughput.vi,Test_NetworkStream_Throughput.vi,1678944.0000,1679080.0000,1679368.0000,1679368.0000,-136.000,-288.000,-424.000
NetworkStream\Test_NetworkStream_Throughput.vi,Get_Target_Memory_Info.vi,1679664.0000,1679604.0000,1679604.0000,1679604.0000,60.000,0.000,60.000
NetworkStream\Test_NetworkStream_Throughput.vi,Pre_NetworkStream_Throughput.vi,1678932.0000,1679372.0000,,,-440.000,,
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Get_Target_Memory_Info.vi,1679476.0000,1679348.0000,1679348.0000,1679348.0000,128.000,0.000,128.000
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Test_NetworkStream_Throughput_SMP.vi,1679068.0000,1679108.0000,1679508.0000,1679508.0000,-40.000,-400.000,-440.000
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Get_Target_Memory_Info.vi,1679276.0000,1679280.0000,1679280.0000,1679280.0000,-4.000,0.000,-4.000
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Pre_NetworkStream_Throughput_SMP.vi,1678948.0000,1678964.0000,,,-16.000,,
TCP\Test_TCP_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,1679472.0000,1679436.0000,1679436.0000,1679436.0000,36.000,0.000,36.000
TCP\Test_TCP_Sweep_NumElements.vi,Test_TCP_Sweep_NumElements.vi,1678824.0000,1678916.0000,1676020.0000,1676020.0000,-92.000,2896.000,2804.000
TCP\Test_TCP_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,1676588.0000,1676540.0000,1676540.0000,1676540.0000,48.000,0.000,48.000
TCP\Test_TCP_Sweep_NumElements.vi,Pre_TCP_Sweep_NumElements.vi,1676132.0000,1676152.0000,,,-20.000,,
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,1676352.0000,1676180.0000,1676180.0000,1676180.0000,172.000,0.000,172.000
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Test_TCP_Sweep_NumElements_SMP.vi,1676016.0000,1676068.0000,1671948.0000,1671948.0000,-52.000,4120.000,4068.000
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,1672428.0000,1672564.0000,1672564.0000,1672564.0000,-136.000,0.000,-136.000
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Pre_TCP_Sweep_NumElements_SMP.vi,1672096.0000,1672132.0000,,,-36.000,,
TCP\Test_TCP_Throughput.vi,Get_Target_Memory_Info.vi,1672528.0000,1672520.0000,1672520.0000,1672520.0000,8.000,0.000,8.000
TCP\Test_TCP_Throughput.vi,Test_TCP_Throughput.vi,1672324.0000,1672640.0000,1672628.0000,1672628.0000,-316.000,12.000,-304.000
TCP\Test_TCP_Throughput.vi,Get_Target_Memory_Info.vi,1672372.0000,1672372.0000,1672372.0000,1672372.0000,0.000,0.000,0.000
TCP\Test_TCP_Throughput.vi,Pre_TCP_Throughput.vi,1672288.0000,1672528.0000,,,-240.000,,
TCP\Test_TCP_Throughput_SMP.vi,Get_Target_Memory_Info.vi,1672548.0000,1672556.0000,1672556.0000,1672556.0000,-8.000,0.000,-8.000
TCP\Test_TCP_Throughput_SMP.vi,Test_TCP_Throughput_SMP.vi,1672048.0000,1672312.0000,1672368.0000,1672368.0000,-264.000,-56.000,-320.000
TCP\Test_TCP_Throughput_SMP.vi,Get_Target_Memory_Info.vi,1672388.0000,1672404.0000,1672404.0000,1672404.0000,-16.000,0.000,-16.000
TCP\Test_TCP_Throughput_SMP.vi,Pre_TCP_Throughput_SMP.vi,1672348.0000,1672164.0000,,,184.000,,
